"State_county","Name","Acres"
"20_141","Osborne County",18515.76
"20_143","Ottawa County",11310.12
"20_145","Pawnee County",47397.63
"20_147","Phillips County",38966.53
"20_149","Pottawatomie County",35842.08
"20_151","Pratt County",66723.95
"20_153","Rawlins County",86872.29
"20_155","Reno County",42057.95
"20_157","Republic County",78734.44
"20_159","Rice County",45797.83
"20_161","Riley County",17808.81
"20_163","Rooks County",11056.91
"20_165","Rush County",7088.86
"20_167","Russell County",8073.68
"20_169","Saline County",10551.43
"20_171","Scott County",60935.5
"20_173","Sedgwick County",44936.34
"20_175","Seward County",70234.65
"20_177","Shawnee County",35576.34
"20_179","Sheridan County",147730.11
"20_181","Sherman County",141549.12
"20_183","Smith County",42308.69
"20_185","Stafford County",75346.78
"20_187","Stanton County",67053.64
"20_189","Stevens County",116276.15
"20_191","Sumner County",43333.07
"20_193","Thomas County",220411.54
"20_195","Trego County",13231.9
"20_197","Wabaunsee County",24892.29
"20_199","Wallace County",70717.79
"20_201","Washington County",67185.76
"20_203","Wichita County",54519.79
"20_205","Wilson County",42302.57
"20_207","Woodson County",13626.28
"20_209","Wyandotte County",967.7
"21_1","Adair County",10321.4
"21_3","Allen County",3968.2
"21_5","Anderson County",588
"21_7","Ballard County",28062.4
"21_9","Barren County",22748.4
"21_11","Bath County",2845.7
"21_13","Bell County",20.38
"21_15","Boone County",2787.85
"21_17","Bourbon County",5157.83
"21_19","Boyd County",149.8
"21_21","Boyle County",3499.5
"21_23","Bracken County",1439.4
"21_25","Breathitt County",61.6
"21_27","Breckinridge County",19683.9
"21_29","Bullitt County",2505.9
"21_31","Butler County",18518.5
"21_33","Caldwell County",33505.5
"21_35","Calloway County",36212
"21_37","Campbell County",254.3
"21_39","Carlisle County",25036.6
"21_41","Carroll County",1644.06
"21_43","Carter County",741.25
"21_45","Casey County",7101.19
"21_47","Christian County",76315.99
"21_49","Clark County",3000
"21_51","Clay County",535.41
"21_53","Clinton County",1002.5
"21_55","Crittenden County",12647.5
"21_57","Cumberland County",2274.1
"21_59","Daviess County",67791
"21_61","Edmonson County",3378.68
"21_63","Elliott County",215.1
"21_65","Estill County",601.6
"21_67","Fayette County",4181.73
"21_69","Fleming County",4663.43
"21_73","Franklin County",2029.59
"21_75","Fulton County",21442.6
"21_77","Gallatin County",906.1
"21_79","Garrard County",2138.8
"21_81","Grant County",241.1
"21_83","Graves County",65358.86
"21_85","Grayson County",11331.5
"21_87","Green County",8374.1
"21_89","Greenup County",977.4
"21_91","Hancock County",7672.4
"21_93","Hardin County",31315.97
"21_97","Harrison County",4372.1
"21_99","Hart County",5412.42
"21_101","Henderson County",67525.6
"21_103","Henry County",5099
"21_105","Hickman County",41262
"21_107","Hopkins County",28358.43
"21_109","Jackson County",318.25
"21_111","Jefferson County",817.6
"21_113","Jessamine County",1244.95
"21_115","Johnson County",7
"21_117","Kenton County",238.8
"21_121","Knox County",657.23
"21_123","Larue County",21075.44
"21_125","Laurel County",771.98
"21_127","Lawrence County",33.7
"21_129","Lee County",83.5
"21_135","Lewis County",1491.8
"21_137","Lincoln County",8616.6
"21_139","Livingston County",9579
"21_141","Logan County",63412.6
"21_143","Lyon County",6987.1
"21_145","McCracken County",10781.6
"21_149","McLean County",40960.9
"21_151","Madison County",1771.5
"21_153","Magoffin County",80.2
"21_155","Marion County",13574.1
"21_157","Marshall County",12339.6
"21_161","Mason County",9070.8
"21_163","Meade County",17118.25
"21_165","Menifee County",392.7
"21_167","Mercer County",5531.7
"21_169","Metcalfe County",4438.58
"21_171","Monroe County",7052.25
"21_173","Montgomery County",2386.74
"21_175","Morgan County",194.4
"21_177","Muhlenberg County",14403.71
"21_179","Nelson County",17493.54
"21_181","Nicholas County",1586.05
"21_183","Ohio County",26608.86
"21_185","Oldham County",3776.61
"21_187","Owen County",1094.81
"21_189","Owsley County",47
"21_191","Pendleton County",938.13
"21_195","Pike County",3.3
"21_197","Powell County",598.2
"21_199","Pulaski County",11653.85
"21_201","Robertson County",159.8
"21_203","Rockcastle County",1916.2
"21_205","Rowan County",907.2
"21_207","Russell County",3805.8
"21_209","Scott County",2637.7
"21_211","Shelby County",19927.11
"21_213","Simpson County",37468.7
