"county","deaths","population"
"Sumter County, Florida",708,129751
"Suwannee County, Florida",59,43472
"Taylor County, Florida",37,21800
"Union County, Florida",35,16138
"Volusia County, Florida",2158,553561
"Wakulla County, Florida",28,33766
"Walton County, Florida",219,75306
"Washington County, Florida",82,25322
"Appling County, Georgia",68,18440
"Bacon County, Georgia",89,11140
"Baldwin County, Georgia",223,43795
"Banks County, Georgia",11,18037
"Barrow County, Georgia",84,83507
"Bartow County, Georgia",366,108888
"Ben Hill County, Georgia",96,17195
"Berrien County, Georgia",26,18166
"Bibb County, Georgia",1221,157347
"Bleckley County, Georgia",40,12585
"Brantley County, Georgia",20,18021
"Brooks County, Georgia",23,16299
"Bryan County, Georgia",22,44739
"Bulloch County, Georgia",290,79647
"Burke County, Georgia",42,24594
"Butts County, Georgia",58,25440
"Camden County, Georgia",78,54769
"Candler County, Georgia",82,10990
"Carroll County, Georgia",677,119141
"Catoosa County, Georgia",124,67873
"Charlton County, Georgia",12,12518
"Chatham County, Georgia",1511,295280
"Chattooga County, Georgia",20,24969
"Cherokee County, Georgia",482,266625
"Clarke County, Georgia",807,128671
"Clayton County, Georgia",417,297608
"Clinch County, Georgia",16,6746
"Cobb County, Georgia",2025,766160
"Coffee County, Georgia",276,43088
"Colquitt County, Georgia",248,45902
"Columbia County, Georgia",80,156010
"Cook County, Georgia",21,17230
"Coweta County, Georgia",492,146154
"Crisp County, Georgia",159,20127
"Dade County, Georgia",20,16246
"Dawson County, Georgia",16,26796
"Decatur County, Georgia",94,29369
"DeKalb County, Georgia",1333,764386
"Dodge County, Georgia",143,19929
"Dooly County, Georgia",10,11212
"Dougherty County, Georgia",775,85790
"Douglas County, Georgia",246,144227
"Early County, Georgia",24,10855
"Effingham County, Georgia",71,64768
"Elbert County, Georgia",47,19638
"Emanuel County, Georgia",118,22769
"Evans County, Georgia",35,10772
"Fannin County, Georgia",111,25319
"Fayette County, Georgia",559,119186
"Floyd County, Georgia",942,98586
"Forsyth County, Georgia",575,251283
"Franklin County, Georgia",75,23424
"Fulton County, Georgia",3142,1066702
"Gilmer County, Georgia",66,31354
"Glascock County, Georgia",15,2882
"Glynn County, Georgia",543,84497
"Gordon County, Georgia",293,57543
"Grady County, Georgia",65,26237
"Greene County, Georgia",35,18907
"Gwinnett County, Georgia",1518,957027
"Habersham County, Georgia",140,46033
"Hall County, Georgia",1707,203166
"Hancock County, Georgia",16,8733
"Haralson County, Georgia",42,29920
"Harris County, Georgia",15,34669
"Hart County, Georgia",19,25824
"Heard County, Georgia",11,11414
"Henry County, Georgia",807,240719
"Houston County, Georgia",502,163641
"Irwin County, Georgia",32,9667
"Jackson County, Georgia",44,75904
"Jasper County, Georgia",27,14595
"Jeff Davis County, Georgia",56,14778
"Jefferson County, Georgia",43,15714
"Jenkins County, Georgia",30,8678
"Johnson County, Georgia",23,9192
"Jones County, Georgia",14,28351
"Lamar County, Georgia",35,18500
"Laurens County, Georgia",383,49581
"Lee County, Georgia",11,33162
"Liberty County, Georgia",75,65274
"Lowndes County, Georgia",598,118249
"Lumpkin County, Georgia",47,33487
"McDuffie County, Georgia",37,21625
"Macon County, Georgia",10,12081
"Madison County, Georgia",12,30123
"Marion County, Georgia",12,7506
"Meriwether County, Georgia",44,20610
"Miller County, Georgia",33,5997
"Mitchell County, Georgia",32,21762
"Monroe County, Georgia",79,27955
"Morgan County, Georgia",15,20096
"Murray County, Georgia",55,39982
"Muscogee County, Georgia",1364,206922
"Newton County, Georgia",327,112491
"Oconee County, Georgia",77,41799
"Paulding County, Georgia",280,168660
"Peach County, Georgia",60,27989
"Pickens County, Georgia",226,33215
"Pierce County, Georgia",19,19716
"Pike County, Georgia",19,18881
"Polk County, Georgia",36,42854
"Pulaski County, Georgia",95,9857
"Putnam County, Georgia",50,22046
"Rabun County, Georgia",43,16882
"Randolph County, Georgia",12,6423
"Richmond County, Georgia",2044,206607
"Rockdale County, Georgia",323,93554
"Screven County, Georgia",26,14066
"Seminole County, Georgia",16,9152
"Spalding County, Georgia",517,67301
"Stephens County, Georgia",95,26787
"Sumter County, Georgia",164,29612
"Tattnall County, Georgia",44,24287
"Telfair County, Georgia",13,12477
"Terrell County, Georgia",12,9184
"Thomas County, Georgia",327,45806
"Tift County, Georgia",390,41347
"Toombs County, Georgia",286,27031
"Towns County, Georgia",54,12487
"Treutlen County, Georgia",20,6401
"Troup County, Georgia",470,69427
"Turner County, Georgia",15,9001
"Twiggs County, Georgia",12,8023
"Union County, Georgia",168,24626
"Upson County, Georgia",336,27699
"Walker County, Georgia",112,67660
"Walton County, Georgia",367,96669
"Ware County, Georgia",355,36247
"Washington County, Georgia",75,19992
"Wayne County, Georgia",181,30144
"White County, Georgia",42,28000
"Whitfield County, Georgia",470,102866
"Wilcox County, Georgia",14,8767
"Wilkes County, Georgia",22,9567
"Wilkinson County, Georgia",13,8868
"Worth County, Georgia",35,20783
"Hawaii County, Hawaii",227,200631
"Honolulu County, Hawaii",1338,1016506
"Kauai County, Hawaii",43,73294
"Maui County, Hawaii",190,164762
"Adair County, Iowa",35,7498
"Adams County, Iowa",14,3708
"Allamakee County, Iowa",57,14061
"Appanoose County, Iowa",63,12315
"Audubon County, Iowa",17,5676
"Benton County, Iowa",46,25571
"Black Hawk County, Iowa",634,131147
"Boone County, Iowa",40,26715
"Bremer County, Iowa",78,24988
"Buchanan County, Iowa",27,20565
"Buena Vista County, Iowa",44,20830
"Butler County, Iowa",28,14335
"Carroll County, Iowa",79,20757
"Cass County, Iowa",72,13132
"Cedar County, Iowa",26,18497
"Cerro Gordo County, Iowa",300,43132
"Cherokee County, Iowa",52,11664
"Chickasaw County, Iowa",12,12015
"Clarke County, Iowa",33,9744
"Clay County, Iowa",37,16381
"Clayton County, Iowa",61,17045
"Clinton County, Iowa",163,46470
"Crawford County, Iowa",45,16526
"Dallas County, Iowa",109,99677
"Davis County, Iowa",24,9110
"Decatur County, Iowa",18,7639
"Delaware County, Iowa",50,17484
"Des Moines County, Iowa",208,38907
"Dickinson County, Iowa",58,17704
"Dubuque County, Iowa",389,99264
"Emmet County, Iowa",45,9383
"Fayette County, Iowa",63,19511
"Floyd County, Iowa",41,15627
"Franklin County, Iowa",22,10016
"Fremont County, Iowa",12,6602
"Greene County, Iowa",17,8766
"Grundy County, Iowa",41,12329
"Guthrie County, Iowa",22,10623
"Hamilton County, Iowa",71,15039
"Hancock County, Iowa",38,10794
"Hardin County, Iowa",46,16873
"Harrison County, Iowa",80,14578
"Henry County, Iowa",56,20488
"Howard County, Iowa",36,9468
"Humboldt County, Iowa",29,9598
"Ida County, Iowa",41,7002
"Iowa County, Iowa",33,16663
"Jackson County, Iowa",43,19485
"Jasper County, Iowa",64,37809
"Jefferson County, Iowa",39,15665
"Johnson County, Iowa",666,152861
"Jones County, Iowa",47,20646
"Keokuk County, Iowa",34,10035
"Kossuth County, Iowa",66,14822
"Lee County, Iowa",98,33548
"Linn County, Iowa",808,230303
"Louisa County, Iowa",31,10837
"Lucas County, Iowa",24,8636
"Lyon County, Iowa",35,11934
"Madison County, Iowa",29,16545
"Mahaska County, Iowa",79,22180
"Marion County, Iowa",103,33417
"Marshall County, Iowa",92,40104
"Mitchell County, Iowa",45,10563
"Monona County, Iowa",44,8757
"Monroe County, Iowa",40,7574
"Montgomery County, Iowa",49,10329
"Muscatine County, Iowa",97,43242
"O'Brien County, Iowa",51,14187
"Osceola County, Iowa",16,6196
"Page County, Iowa",31,15213
"Palo Alto County, Iowa",33,8999
"Plymouth County, Iowa",73,25697
"Pocahontas County, Iowa",19,7077
"Polk County, Iowa",1870,492411
"Pottawattamie County, Iowa",359,93670
"Poweshiek County, Iowa",63,18658
"Ringgold County, Iowa",31,4663
"Sac County, Iowa",20,9817
"Scott County, Iowa",529,174669
"Shelby County, Iowa",50,11748
"Sioux County, Iowa",66,35870
"Story County, Iowa",179,98536
"Tama County, Iowa",50,17130
"Union County, Iowa",43,12145
"Van Buren County, Iowa",19,7203
"Wapello County, Iowa",144,35445
"Warren County, Iowa",73,52402
"Washington County, Iowa",65,22567
"Wayne County, Iowa",31,6495
"Webster County, Iowa",230,36996
"Winnebago County, Iowa",23,10683
"Winneshiek County, Iowa",47,20061
"Woodbury County, Iowa",564,105944
"Wright County, Iowa",49,12941
"Ada County, Idaho",1691,494964
"Bannock County, Idaho",326,87017
"Bear Lake County, Idaho",12,6371
"Benewah County, Idaho",21,9531
"Bingham County, Idaho",78,47995
"Blaine County, Idaho",17,24275
"Bonner County, Idaho",149,47105
"Bonneville County, Idaho",490,123955
"Boundary County, Idaho",50,12057
"Canyon County, Idaho",658,231106
"Caribou County, Idaho",22,7028
"Cassia County, Idaho",32,24693
"Clearwater County, Idaho",39,8731
"Elmore County, Idaho",26,28665
"Franklin County, Idaho",17,14196
"Fremont County, Idaho",13,13383
"Gem County, Idaho",43,19126
"Gooding County, Idaho",32,15599
"Idaho County, Idaho",34,16542
"Jefferson County, Idaho",17,30889
"Jerome County, Idaho",16,24241
"Kootenai County, Idaho",764,171374
"Latah County, Idaho",48,39518
"Lemhi County, Idaho",12,7976
"Madison County, Idaho",49,52908
"Minidoka County, Idaho",47,21582
"Nez Perce County, Idaho",163,42089
"Owyhee County, Idaho",30,11914
"Payette County, Idaho",42,25385
"Power County, Idaho",11,7874
"Shoshone County, Idaho",40,13164
"Twin Falls County, Idaho",448,90045
"Washington County, Idaho",30,10500
"Adams County, Illinois",441,65727
"Bond County, Illinois",32,16729
"Boone County, Illinois",59,53446
"Brown County, Illinois",15,6247
"Bureau County, Illinois",145,33229
"Carroll County, Illinois",25,15705
"Cass County, Illinois",29,13044
"Champaign County, Illinois",684,205863
"Christian County, Illinois",91,34031
"Clark County, Illinois",27,15457
"Clay County, Illinois",46,13290
"Clinton County, Illinois",57,36906
"Coles County, Illinois",253,46865
"Cook County, Illinois",16065,5275522
"Crawford County, Illinois",47,18672
"Cumberland County, Illinois",22,10448
"DeKalb County, Illinois",246,100415
"De Witt County, Illinois",33,15510
"Douglas County, Illinois",23,19734
"DuPage County, Illinois",1961,932877
"Edgar County, Illinois",70,16868
"Effingham County, Illinois",155,34671
"Fayette County, Illinois",57,21492
"Ford County, Illinois",70,13531
"Franklin County, Illinois",105,37798
"Fulton County, Illinois",112,33611
"Greene County, Illinois",42,11988
"Grundy County, Illinois",179,52544
"Hamilton County, Illinois",35,7993
"Hancock County, Illinois",55,17621
"Hardin County, Illinois",16,3647
"Henderson County, Illinois",19,6385
"Henry County, Illinois",113,49290
"Iroquois County, Illinois",78,27079
"Jackson County, Illinois",283,52984
"Jasper County, Illinois",22,9288
"Jefferson County, Illinois",286,37118
"Jersey County, Illinois",85,21520
"Jo Daviess County, Illinois",34,22042
"Kane County, Illinois",1307,516520
"Kankakee County, Illinois",397,107508
"Kendall County, Illinois",34,131868
"Knox County, Illinois",286,49971
"Lake County, Illinois",1496,714351
"La Salle County, Illinois",328,NA
"Lawrence County, Illinois",22,15283
"Lee County, Illinois",125,34144
"Livingston County, Illinois",121,35816
"Logan County, Illinois",69,27986
"McDonough County, Illinois",97,27237
"McHenry County, Illinois",406,310227
"McLean County, Illinois",487,170975
"Macon County, Illinois",465,104003
"Macoupin County, Illinois",111,44967
"Madison County, Illinois",918,265858
"Marion County, Illinois",176,37727
"Marshall County, Illinois",15,11744
"Mason County, Illinois",45,13091
"Massac County, Illinois",64,14176
"Menard County, Illinois",22,12296
"Mercer County, Illinois",25,15694
"Monroe County, Illinois",54,34953
"Montgomery County, Illinois",101,28287
"Morgan County, Illinois",174,32917
"Moultrie County, Illinois",18,14523
"Ogle County, Illinois",75,51788
"Peoria County, Illinois",1355,181833
"Perry County, Illinois",61,20940
"Piatt County, Illinois",22,16672
"Pike County, Illinois",68,14737
"Randolph County, Illinois",118,30165
"Richland County, Illinois",95,15800
"Rock Island County, Illinois",568,144678
"St. Clair County, Illinois",831,257403
"Saline County, Illinois",108,23772
"Sangamon County, Illinois",818,196338
"Schuyler County, Illinois",26,6902
"Shelby County, Illinois",33,20995
"Stark County, Illinois",23,5405
"Stephenson County, Illinois",238,44623
"Tazewell County, Illinois",243,131334
"Union County, Illinois",40,17243
"Vermilion County, Illinois",243,74199
"Wabash County, Illinois",24,11361
"Warren County, Illinois",50,16840
"Washington County, Illinois",34,13767
"Wayne County, Illinois",67,16173
"White County, Illinois",39,13872
"Whiteside County, Illinois",280,55691
"Will County, Illinois",1481,696362
"Williamson County, Illinois",376,67154
"Winnebago County, Illinois",1144,285350
"Woodford County, Illinois",83,38450
"Adams County, Indiana",76,35811
"Allen County, Indiana",2122,385411
"Bartholomew County, Indiana",343,82218
"Blackford County, Indiana",33,12115
"Boone County, Indiana",199,70814
"Brown County, Indiana",35,15475
"Carroll County, Indiana",23,20304
"Cass County, Indiana",123,37870
"Clark County, Indiana",358,121091
"Clay County, Indiana",45,26457
"Clinton County, Indiana",66,33188
"Crawford County, Indiana",11,10530
"Daviess County, Indiana",110,33391
"Dearborn County, Indiana",161,50680
"Decatur County, Indiana",111,26471
"DeKalb County, Indiana",119,43273
"Delaware County, Indiana",669,111909
"Dubois County, Indiana",186,43635
"Elkhart County, Indiana",795,207054
"Fayette County, Indiana",62,23404
"Floyd County, Indiana",541,80474
"Fountain County, Indiana",41,16474
"Franklin County, Indiana",14,22796
"Fulton County, Indiana",75,20480
"Gibson County, Indiana",67,33017
"Grant County, Indiana",313,66661
"Greene County, Indiana",101,30805
"Hamilton County, Indiana",697,347465
"Hancock County, Indiana",265,79851
"Harrison County, Indiana",105,39649
"Hendricks County, Indiana",739,174792
"Henry County, Indiana",129,48912
"Howard County, Indiana",504,83659
"Huntington County, Indiana",86,36670
"Jackson County, Indiana",154,46425
"Jasper County, Indiana",62,32912
"Jay County, Indiana",33,20478
"Jefferson County, Indiana",220,33147
"Jennings County, Indiana",41,27614
"Johnson County, Indiana",348,161768
"Knox County, Indiana",245,36286
"Kosciusko County, Indiana",134,80247
"LaGrange County, Indiana",72,40444
"Lake County, Indiana",2459,498707
"LaPorte County, Indiana",398,112422
"Lawrence County, Indiana",160,45015
"Madison County, Indiana",624,130141
"Marion County, Indiana",4416,977213
"Marshall County, Indiana",162,46096
"Martin County, Indiana",16,9806
"Miami County, Indiana",103,35972
"Monroe County, Indiana",528,139717
"Montgomery County, Indiana",81,37941
"Morgan County, Indiana",173,71785
"Newton County, Indiana",39,13825
"Noble County, Indiana",100,47461
"Orange County, Indiana",69,19872
"Owen County, Indiana",46,21326
"Perry County, Indiana",46,19170
"Pike County, Indiana",28,12252
"Porter County, Indiana",518,173208
"Posey County, Indiana",13,25213
"Pulaski County, Indiana",48,12523
"Putnam County, Indiana",72,36728
"Randolph County, Indiana",54,24502
"Ripley County, Indiana",115,28984
"Rush County, Indiana",24,16755
"St. Joseph County, Indiana",988,272914
"Scott County, Indiana",58,24383
"Shelby County, Indiana",163,45052
"Spencer County, Indiana",17,19814
"Starke County, Indiana",34,23370
"Steuben County, Indiana",57,34448
"Sullivan County, Indiana",49,20820
"Switzerland County, Indiana",11,9753
"Tippecanoe County, Indiana",767,186249
"Tipton County, Indiana",66,15355
"Vanderburgh County, Indiana",1088,180136
"Vermillion County, Indiana",33,15447
"Vigo County, Indiana",651,106158
"Wabash County, Indiana",116,30986
"Warren County, Indiana",22,8436
"Warrick County, Indiana",539,63896
"Washington County, Indiana",48,28176
"Wayne County, Indiana",520,66555
"Wells County, Indiana",89,28187
"White County, Indiana",43,24691
"Whitley County, Indiana",62,34190
"Allen County, Kansas",30,12522
"Anderson County, Kansas",17,7839
"Atchison County, Kansas",27,16341
"Barber County, Kansas",10,4233
"Barton County, Kansas",76,25495
"Bourbon County, Kansas",20,14361
"Brown County, Kansas",30,9511
"Butler County, Kansas",127,67383
"Cherokee County, Kansas",24,19357
"Clark County, Kansas",13,1988
"Clay County, Kansas",37,8112
"Cloud County, Kansas",39,9034
"Coffey County, Kansas",32,8358
"Comanche County, Kansas",14,1687
"Cowley County, Kansas",122,34547
"Crawford County, Kansas",195,38976
"Decatur County, Kansas",10,2770
"Dickinson County, Kansas",80,18397
"Doniphan County, Kansas",23,7498
"Douglas County, Kansas",170,118784
"Edwards County, Kansas",12,2901
"Ellis County, Kansas",189,28932
"Ellsworth County, Kansas",25,6383
"Finney County, Kansas",170,38467
"Ford County, Kansas",104,34282
"Franklin County, Kansas",60,25994
"Geary County, Kansas",68,36730
"Gove County, Kansas",23,2717
"Graham County, Kansas",11,2417
"Grant County, Kansas",17,7353
"Gray County, Kansas",14,5654
"Greenwood County, Kansas",15,6006
"Harper County, Kansas",18,5484
"Harvey County, Kansas",148,34034
"Haskell County, Kansas",11,3781
"Jackson County, Kansas",10,13234
"Jefferson County, Kansas",37,18359
