"county","deaths","population"
"Tyler County, Texas",45,19799
"Upshur County, Texas",31,40890
"Upton County, Texas",11,3308
"Uvalde County, Texas",105,24564
"Val Verde County, Texas",151,47584
"Van Zandt County, Texas",85,59540
"Victoria County, Texas",753,91320
"Walker County, Texas",173,76402
"Waller County, Texas",26,56763
"Ward County, Texas",19,11648
"Washington County, Texas",93,35804
"Webb County, Texas",1253,267110
"Wharton County, Texas",104,41574
"Wheeler County, Texas",16,4987
"Wichita County, Texas",1021,129355
"Wilbarger County, Texas",86,12891
"Willacy County, Texas",13,20163
"Williamson County, Texas",1344,609010
"Wilson County, Texas",81,49757
"Winkler County, Texas",12,7791
"Wise County, Texas",328,68632
"Wood County, Texas",91,44855
"Yoakum County, Texas",34,7695
"Young County, Texas",65,17867
"Zapata County, Texas",11,13888
"Beaver County, Utah",11,7074
"Box Elder County, Utah",56,57669
"Cache County, Utah",114,133159
"Carbon County, Utah",61,20418
"Davis County, Utah",395,362689
"Duchesne County, Utah",23,19603
"Emery County, Utah",12,9822
"Iron County, Utah",68,57285
"Juab County, Utah",11,11778
"Millard County, Utah",13,12977
"Salt Lake County, Utah",2364,1185236
"San Juan County, Utah",20,14510
"Sanpete County, Utah",28,28435
"Sevier County, Utah",21,21517
"Summit County, Utah",11,42364
"Tooele County, Utah",68,72697
"Uintah County, Utah",47,35613
"Utah County, Utah",1045,659392
"Wasatch County, Utah",18,34791
"Washington County, Utah",713,180281
"Weber County, Utah",607,262213
"Accomack County, Virginia",100,33417
"Albemarle County, Virginia",255,112396
"Alleghany County, Virginia",100,15219
"Amelia County, Virginia",35,13262
"Amherst County, Virginia",32,31311
"Appomattox County, Virginia",24,16117
"Arlington County, Virginia",502,238644
"Augusta County, Virginia",354,77485
"Bath County, Virginia",16,4205
"Bedford County, Virginia",77,79465
"Bland County, Virginia",17,6274
"Botetourt County, Virginia",30,33593
"Brunswick County, Virginia",16,15850
"Buchanan County, Virginia",65,20348
"Buckingham County, Virginia",20,16830
"Campbell County, Virginia",48,55689
"Caroline County, Virginia",35,30886
"Carroll County, Virginia",66,29154
"Chesterfield County, Virginia",693,364546
"Clarke County, Virginia",31,14787
"Culpeper County, Virginia",163,52554
"Dickenson County, Virginia",25,14129
"Essex County, Virginia",42,10598
"Fairfax County, Virginia",1618,1150305
"Fauquier County, Virginia",105,72956
"Floyd County, Virginia",22,15475
"Fluvanna County, Virginia",19,27247
"Franklin County, Virginia",143,54475
"Frederick County, Virginia",85,91421
"Giles County, Virginia",27,16792
"Gloucester County, Virginia",150,38716
"Grayson County, Virginia",31,15335
"Greene County, Virginia",29,20554
"Greensville County, Virginia",10,11389
"Halifax County, Virginia",190,34022
"Hanover County, Virginia",525,109980
"Henrico County, Virginia",1224,334389
"Henry County, Virginia",74,50949
"Isle of Wight County, Virginia",45,38610
"James City County, Virginia",92,78255
"King George County, Virginia",12,26722
"King William County, Virginia",10,17811
"Lancaster County, Virginia",26,10919
"Lee County, Virginia",48,22173
"Loudoun County, Virginia",444,420955
"Louisa County, Virginia",33,37603
"Madison County, Virginia",18,13842
"Mathews County, Virginia",11,8535
"Mecklenburg County, Virginia",140,30315
"Middlesex County, Virginia",24,10626
"Montgomery County, Virginia",321,99717
"Northampton County, Virginia",32,12278
"Nottoway County, Virginia",31,15642
"Orange County, Virginia",32,36184
"Page County, Virginia",84,23708
"Patrick County, Virginia",59,17604
"Pittsylvania County, Virginia",54,60502
"Powhatan County, Virginia",13,30334
"Prince Edward County, Virginia",85,21846
"Prince William County, Virginia",515,482198
"Pulaski County, Virginia",130,33800
"Richmond County, Virginia",14,8920
"Roanoke County, Virginia",87,96936
"Rockbridge County, Virginia",32,22650
"Rockingham County, Virginia",414,83759
"Russell County, Virginia",64,25786
"Scott County, Virginia",43,21568
"Shenandoah County, Virginia",157,44192
"Smyth County, Virginia",97,29800
"Southampton County, Virginia",27,18001
"Spotsylvania County, Virginia",139,140094
"Stafford County, Virginia",69,156937
"Sussex County, Virginia",17,10831
"Tazewell County, Virginia",208,40439
"Warren County, Virginia",118,40724
"Washington County, Virginia",276,53934
"Westmoreland County, Virginia",16,18477
"Wise County, Virginia",101,36118
"Wythe County, Virginia",135,28285
"York County, Virginia",155,70055
"Alexandria city, Virginia",333,159461
"Bristol city, Virginia",45,17218
"Buena Vista city, Virginia",24,6641
"Charlottesville city, Virginia",370,46554
"Chesapeake city, Virginia",475,249415
"Colonial Heights city, Virginia",53,18171
"Danville city, Virginia",353,42592
"Emporia city, Virginia",40,5766
"Fairfax city, Virginia",52,24148
"Falls Church city, Virginia",13,14658
"Franklin city, Virginia",87,8179
"Fredericksburg city, Virginia",398,27979
"Galax city, Virginia",125,6725
"Hampton city, Virginia",322,137158
"Harrisonburg city, Virginia",84,51810
"Hopewell city, Virginia",193,23032
"Lexington city, Virginia",50,7317
"Lynchburg city, Virginia",907,79007
"Manassas city, Virginia",299,42773
"Martinsville city, Virginia",322,13486
"Newport News city, Virginia",615,186243
"Norfolk city, Virginia",856,238001
"Norton city, Virginia",73,3696
"Petersburg city, Virginia",389,33457
"Portsmouth city, Virginia",381,97915
"Radford city, Virginia",19,16068
"Richmond city, Virginia",914,226618
"Roanoke city, Virginia",941,100015
"Salem city, Virginia",417,25347
"Staunton city, Virginia",39,25754
"Suffolk city, Virginia",464,94326
"Virginia Beach city, Virginia",764,459471
"Waynesboro city, Virginia",23,22195
"Winchester city, Virginia",663,28122
"Addison County, Vermont",27,37359
"Bennington County, Vermont",107,37344
"Caledonia County, Vermont",39,30235
"Chittenden County, Vermont",302,168324
"Franklin County, Vermont",65,49949
"Lamoille County, Vermont",24,25939
"Orange County, Vermont",14,29289
"Orleans County, Vermont",36,27402
"Rutland County, Vermont",96,60570
"Washington County, Vermont",85,59804
"Windham County, Vermont",40,45909
"Windsor County, Vermont",59,57751
"Adams County, Washington",12,20612
"Asotin County, Washington",66,22288
"Benton County, Washington",716,206875
"Chelan County, Washington",330,79078
"Clallam County, Washington",147,77160
"Clark County, Washington",976,503309
"Columbia County, Washington",11,3952
"Cowlitz County, Washington",336,110740
"Douglas County, Washington",26,42937
"Ferry County, Washington",16,7178
"Franklin County, Washington",148,96746
"Grant County, Washington",163,99120
"Grays Harbor County, Washington",156,75636
"Island County, Washington",89,86847
"Jefferson County, Washington",21,32975
"King County, Washington",3273,2269667
"Kitsap County, Washington",359,275605
"Kittitas County, Washington",66,44342
"Klickitat County, Washington",23,22734
"Lewis County, Washington",175,82152
"Lincoln County, Washington",15,10879
"Mason County, Washington",99,65722
"Okanogan County, Washington",85,42098
"Pacific County, Washington",37,23365
"Pend Oreille County, Washington",31,13404
"Pierce County, Washington",1872,921137
"Skagit County, Washington",272,129515
"Snohomish County, Washington",1022,827947
"Spokane County, Washington",1725,539332
"Stevens County, Washington",104,46450
"Thurston County, Washington",608,294797
"Walla Walla County, Washington",175,62586
"Whatcom County, Washington",444,226843
"Whitman County, Washington",72,47971
"Yakima County, Washington",798,256719
"Adams County, Wisconsin",21,20646
"Ashland County, Wisconsin",49,16033
"Barron County, Wisconsin",129,46709
"Bayfield County, Wisconsin",15,16213
"Brown County, Wisconsin",966,268729
"Burnett County, Wisconsin",27,16526
"Calumet County, Wisconsin",52,52433
"Chippewa County, Wisconsin",119,66302
"Clark County, Wisconsin",56,34660
"Columbia County, Wisconsin",131,58480
"Crawford County, Wisconsin",18,16115
"Dane County, Wisconsin",1091,561507
"Dodge County, Wisconsin",322,89398
"Door County, Wisconsin",69,30066
"Douglas County, Wisconsin",90,44291
"Dunn County, Wisconsin",50,45434
"Eau Claire County, Wisconsin",434,105702
"Fond du Lac County, Wisconsin",325,104152
"Forest County, Wisconsin",22,9176
"Grant County, Wisconsin",102,51950
"Green County, Wisconsin",85,37092
"Green Lake County, Wisconsin",56,19023
"Iowa County, Wisconsin",34,23709
"Iron County, Wisconsin",39,6138
"Jackson County, Wisconsin",24,21142
"Jefferson County, Wisconsin",149,86151
"Juneau County, Wisconsin",24,26721
"Kenosha County, Wisconsin",807,169156
"Kewaunee County, Wisconsin",25,20556
"La Crosse County, Wisconsin",514,120796
"Lafayette County, Wisconsin",19,16608
"Langlade County, Wisconsin",87,19491
"Lincoln County, Wisconsin",107,28421
"Manitowoc County, Wisconsin",168,81360
"Marathon County, Wisconsin",703,138007
"Marinette County, Wisconsin",136,41874
"Marquette County, Wisconsin",29,15596
"Milwaukee County, Wisconsin",2752,939495
"Monroe County, Wisconsin",81,46270
"Oconto County, Wisconsin",46,38971
"Oneida County, Wisconsin",189,37848
"Outagamie County, Wisconsin",667,190710
"Ozaukee County, Wisconsin",352,91499
"Pierce County, Wisconsin",46,42205
"Polk County, Wisconsin",114,44979
"Portage County, Wisconsin",134,70376
"Price County, Wisconsin",18,14055
"Racine County, Wisconsin",629,197720
"Richland County, Wisconsin",40,17302
"Rock County, Wisconsin",457,163692
"Rusk County, Wisconsin",36,14192
"St. Croix County, Wisconsin",108,93539
"Sauk County, Wisconsin",150,65780
"Sawyer County, Wisconsin",48,18080
"Shawano County, Wisconsin",108,40886
"Sheboygan County, Wisconsin",376,118023
"Taylor County, Wisconsin",82,19915
"Trempealeau County, Wisconsin",50,30756
"Vernon County, Wisconsin",97,30715
"Vilas County, Wisconsin",36,23047
"Walworth County, Wisconsin",205,105226
"Washburn County, Wisconsin",30,16622
"Washington County, Wisconsin",255,136756
"Waukesha County, Wisconsin",1280,406971
"Waupaca County, Wisconsin",175,51811
"Waushara County, Wisconsin",33,24526
"Winnebago County, Wisconsin",489,171734
"Wood County, Wisconsin",480,74218
"Barbour County, West Virginia",24,15462
"Berkeley County, West Virginia",340,122078
"Boone County, West Virginia",45,21807
"Braxton County, West Virginia",36,12449
"Brooke County, West Virginia",233,22551
"Cabell County, West Virginia",848,94346
"Clay County, West Virginia",24,8050
"Fayette County, West Virginia",116,40485
"Grant County, West Virginia",48,10975
"Greenbrier County, West Virginia",189,32979
"Hampshire County, West Virginia",39,23092
"Hancock County, West Virginia",68,29095
"Hardy County, West Virginia",15,14298
"Harrison County, West Virginia",403,65922
"Jackson County, West Virginia",71,27792
"Jefferson County, West Virginia",142,57707
"Kanawha County, West Virginia",1170,180744
"Lewis County, West Virginia",69,17028
"Lincoln County, West Virginia",17,20459
"Logan County, West Virginia",179,32572
"McDowell County, West Virginia",47,19118
"Marion County, West Virginia",66,56211
"Marshall County, West Virginia",142,30589
"Mason County, West Virginia",64,25448
"Mercer County, West Virginia",292,59660
"Mineral County, West Virginia",96,26938
"Mingo County, West Virginia",23,23574
"Monongalia County, West Virginia",957,105822
"Morgan County, West Virginia",50,17067
"Nicholas County, West Virginia",59,24603
"Ohio County, West Virginia",488,42444
"Pendleton County, West Virginia",14,6145
"Pleasants County, West Virginia",14,7653
"Pocahontas County, West Virginia",16,7873
"Preston County, West Virginia",82,34214
"Putnam County, West Virginia",137,57435
"Raleigh County, West Virginia",594,74581
"Randolph County, West Virginia",133,27934
"Ritchie County, West Virginia",10,8450
"Roane County, West Virginia",25,14028
"Summers County, West Virginia",19,11968
"Taylor County, West Virginia",40,16701
"Tucker County, West Virginia",20,6765
"Upshur County, West Virginia",73,23817
"Wayne County, West Virginia",69,38983
"Webster County, West Virginia",12,8380
"Wetzel County, West Virginia",45,14441
"Wood County, West Virginia",440,84300
"Wyoming County, West Virginia",32,21387
"Albany County, Wyoming",42,37070
"Big Horn County, Wyoming",46,11521
"Campbell County, Wyoming",140,47027
"Carbon County, Wyoming",29,14531
"Converse County, Wyoming",42,13747
"Crook County, Wyoming",17,7184
"Fremont County, Wyoming",109,39234
"Goshen County, Wyoming",49,12503
"Hot Springs County, Wyoming",16,4618
"Johnson County, Wyoming",19,8451
"Laramie County, Wyoming",358,100506
"Lincoln County, Wyoming",20,19582
"Natrona County, Wyoming",461,79955
"Park County, Wyoming",121,29625
"Platte County, Wyoming",30,8603
"Sheridan County, Wyoming",99,30925
"Sublette County, Wyoming",11,8728
"Sweetwater County, Wyoming",113,42267
"Teton County, Wyoming",19,23323
"Uinta County, Wyoming",23,20446
"Washakie County, Wyoming",31,7682
"Weston County, Wyoming",12,6840
